行号,标签,预测,判定
3184,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是键盘，根据垃圾分类的标准，应该属于有害垃圾。,0
3185,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3186,"图中展示的物品是蚕豆,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3187,"图中展示的物品是茶叶,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{green_object},根据垃圾分类的标准，应该属于{green}",1
3188,"图中展示的物品是剪刀,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3189,"图中展示的物品是手链,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3190,"图中展示的物品是蛋糕盒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3191,"图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾。",1
3192,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3193,"图中展示的物品是冰糖葫芦,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3194,"图中展示的物品是汉堡,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是汉堡，根据垃圾分类的标准，应该属于垃圾食品,0
3195,"图中展示的物品是火龙果,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[fruit],根据垃圾分类的标准，应该属于[food]",1
3196,"图中展示的物品是勺子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是塑料瓶盖，根据垃圾分类的标准，应该属于可回收物。,0
3197,"图中展示的物品是胡萝卜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是锅铲，根据垃圾分类的标准，应该属于厨余垃圾。,0
3198,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3199,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3200,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾,1
3201,"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3202,"图中展示的物品是杀虫剂,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是杀虫气雾剂，根据垃圾分类的标准，应该属于有害垃圾,1
3203,"图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是瓶，根据垃圾分类的标准，应该属于废塑料,1
3204,"图中展示的物品是锅,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是锅，根据垃圾分类的标准，应该属于厨余垃圾,0
3205,"图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾",0
3206,"图中展示的物品是塑料盆,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是洗发水，根据垃圾分类的标准，应该属于有害垃圾,0
3207,"图中展示的物品是插线板,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3208,"图中展示的物品是泡沫盒子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}其他垃圾",1
3209,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3210,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{vegetable}，根据垃圾分类的标准，应该属于{vegetable},1
3211,"图中展示的物品是验孕棒,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是卫生纸，根据垃圾分类的标准，应该属于厨余垃圾,0
3212,"图中展示的物品是裤子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3213,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3214,"图中展示的物品是烤鸡烤鸭,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3215,"图中展示的物品是塑料盆,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是盆,1
3216,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3217,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3218,"图中展示的物品是口服液瓶,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3219,"图中展示的物品是一次性杯子,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是纸杯，根据垃圾分类的标准，应该属于可回收垃圾。,0
3220,"图中展示的物品是信封,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3221,"图中展示的物品是手提包,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3222,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸袋，根据垃圾分类的标准，应该属于可回收物,1
3223,"图中展示的物品是盘子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃制品，根据垃圾分类的标准，应该属于可回收垃圾。,1
3224,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3225,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
3226,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3227,"图中展示的物品是西瓜皮,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是西瓜，根据垃圾分类的标准，应该属于可回收物。,0
3228,"图中展示的物品是烤鸡烤鸭,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},0
3229,"图中展示的物品是鞋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3230,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是肉，根据垃圾分类的标准，应该属于厨余垃圾。,1
3231,"图中展示的物品是PE塑料袋,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是塑料袋，根据垃圾分类的标准，应该属于可回收物。,0
3232,"图中展示的物品是泡沫盒子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}其他垃圾",1
3233,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是食品，根据垃圾分类的标准，应该属于垃圾食品,0
3234,"图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3235,"图中展示的物品是咖啡渣,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是咖啡豆，根据垃圾分类的标准，应该属于厨余垃圾。,1
3236,"图中展示的物品是杀虫剂,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}废塑料",0
3237,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3238,"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是绿色，根据垃圾分类的标准，应该属于{recycle},1
3239,"图中展示的物品是薯条,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是土豆，根据垃圾分类的标准，应该属于厨余垃圾。,1
3240,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3241,"图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3242,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃茶壶，根据垃圾分类的标准，应该属于玻璃。,1
3243,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾,1
3244,"图中展示的物品是薯条,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是薯条，根据垃圾分类的标准，应该属于厨余垃圾。,1
3245,"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3246,"图中展示的物品是空气加湿器,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}电子垃圾",0
3247,"图中展示的物品是板栗,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[chestnut],根据垃圾分类的标准，应该属于[食物]",1
3248,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3249,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3250,"图中展示的物品是地铁票,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是卡片，根据垃圾分类的标准，应该属于垃圾,0
3251,"图中展示的物品是保鲜盒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃保鲜盒，根据垃圾分类的标准，应该属于可回收物。,1
3252,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是花瓶，根据垃圾分类的标准，应该属于其他垃圾,0
3253,"图中展示的物品是插线板,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是插座，根据垃圾分类的标准，应该属于可回收物,1
3254,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是巧克力，根据垃圾分类的标准，应该属于可回收垃圾。,0
3255,"图中展示的物品是手机,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是电池，根据垃圾分类的标准，应该属于电子垃圾。,0
3256,"图中展示的物品是一次性棉签,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是卫生用品,根据垃圾分类的标准，应该属于其他垃圾",1
3257,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是毛绒玩具，根据垃圾分类的标准，应该属于其他垃圾。,0
3258,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃茶壶，根据垃圾分类的标准，应该属于可回收物。,1
3259,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",1
3260,"图中展示的物品是红花油,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3261,"图中展示的物品是贝果,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收物,0
3262,"图中展示的物品是手提包,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{backpack}，根据垃圾分类的标准，应该属于{packaging},0
3263,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3264,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3265,"图中展示的物品是茶壶碎片,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是瓷器，根据垃圾分类的标准，应该属于其他垃圾。,1
3266,"图中展示的物品是核桃,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[wood, 玩具]，根据垃圾分类的标准，应该属于[其他垃圾]",0
3267,"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于其他垃圾。,0
3268,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾",1
3269,"图中展示的物品是档案袋,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{cardboard_box}，根据垃圾分类的标准，应该属于{cardboard},0
3270,"图中展示的物品是红花油,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3271,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是塑料袋，根据垃圾分类的标准，应该属于{garbage_type}塑料。,0
3272,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{glass_jar_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3273,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是键盘，根据垃圾分类的标准，应该属于垃圾,0
3274,"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{robot_object},根据垃圾分类的标准，应该属于{toy}",1
3275,"图中展示的物品是贝果,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是塑料杯，根据垃圾分类的标准，应该属于塑料垃圾,0
3276,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{bag_object},根据垃圾分类的标准，应该属于{recycle}",1
3277,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是[bread]，根据垃圾分类的标准，应该属于[食品],1
3278,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸袋，根据垃圾分类的标准，应该属于可回收物。,1
3279,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸箱，根据垃圾分类的标准，应该属于可回收物,1
3280,"图中展示的物品是信封,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{paper_or_paper制品}，根据垃圾分类的标准，应该属于{paper_or_paper制品},1
3281,"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{toy_box_object},根据垃圾分类的标准，应该属于{toy}",0
3282,"图中展示的物品是U型回形针,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3283,"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃容器，根据垃圾分类的标准，应该属于可回收物。,1
3284,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于玻璃垃圾。,1
3285,"图中展示的物品是手链,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是[bracelet]，根据垃圾分类的标准，应该属于[垃圾],1
3286,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸板箱，根据垃圾分类的标准，应该属于可回收物。,1
3287,"图中展示的物品是空气加湿器,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是花瓶，根据垃圾分类的标准，应该属于可回收垃圾。,0
3288,"图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是网袋，根据垃圾分类的标准，应该属于可回收垃圾。,0
3289,"图中展示的物品是菠萝蜜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是[fruit]，根据垃圾分类的标准，应该属于[food],1
3290,"图中展示的物品是大龙虾头,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3291,"图中展示的物品是板栗,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是[chestnut],根据垃圾分类的标准，应该属于[food]",1
3292,"图中展示的物品是蚕豆,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是坚果，根据垃圾分类的标准，应该属于可回收物。,0
3293,"图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3294,"图中展示的物品是奶茶杯,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是塑料杯，根据垃圾分类的标准，应该属于可回收垃圾。,0
3295,"图中展示的物品是手提包,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是背包，根据垃圾分类的标准，应该属于可回收物。,1
3296,"图中展示的物品是手电筒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是手电筒，根据垃圾分类的标准，应该属于可回收物,1
3297,"图中展示的物品是书,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是纸张，根据垃圾分类的标准，应该属于{garbage_type}废纸,1
3298,"图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是袜子，根据垃圾分类的标准，应该属于可回收物,1
3299,"图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3300,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[lighting_object],根据垃圾分类的标准，应该属于[recyclable]",1
3301,"图中展示的物品是笔及笔芯,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是[文具],[垃圾物品],根据垃圾分类的标准，应该属于[其他垃圾]",1
3302,"图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是瓶装水，根据垃圾分类的标准，应该属于其他垃圾。,0
3303,"图中展示的物品是烟蒂,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3304,"图中展示的物品是台历,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3305,"图中展示的物品是衣架,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是衣架，根据垃圾分类的标准，应该属于其他垃圾。,0
3306,"图中展示的物品是红花油,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
3307,"图中展示的物品是白菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于可回收物。,0
3308,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3309,"图中展示的物品是螺丝刀,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是螺丝刀，根据垃圾分类的标准，应该属于可回收垃圾。,1
3310,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是台灯,根据垃圾分类的标准，应该属于其他垃圾",0
3311,"图中展示的物品是滴眼液瓶,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是塑料瓶，根据垃圾分类的标准，应该属于其他垃圾。,0
3312,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3313,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是灯，根据垃圾分类的标准，应该属于可回收垃圾,1
3314,"图中展示的物品是薯条,根据垃圾分类的标准，应该属于厨余垃圾","垃圾物品是{food},根据垃圾分类的标准，应该属于{garbage_type}",1
3315,"图中展示的物品是茶叶罐,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是花瓶，根据垃圾分类的标准，应该属于废品,0
3316,"图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是鼠标，根据垃圾分类的标准，应该属于电子废弃物,0
3317,"图中展示的物品是玻璃球,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3318,"图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3319,"图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3320,"图中展示的物品是塑料瓶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是塑料瓶，根据垃圾分类的标准，应该属于可回收物。,1
3321,"图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是钢丝球，根据垃圾分类的标准，应该属于厨余垃圾。,0
3322,"图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3323,"图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是[电脑硬件]，根据垃圾分类的标准，应该属于[电子废弃物],0
3324,"图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是钢丝球，根据垃圾分类的标准，应该属于可回收物,1
3325,"图中展示的物品是蘑菇,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3326,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾,1
3327,"图中展示的物品是纸牌,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3328,"图中展示的物品是炸鸡,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是盘子,根据垃圾分类的标准，应该属于厨余垃圾",0
3329,"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
3330,"图中展示的物品是火龙果,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{vegetable},0
3331,"图中展示的物品是滴眼液瓶,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是{toy}，根据垃圾分类的标准，应该属于{other},0
3332,"图中展示的物品是地球仪,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{globe}，根据垃圾分类的标准，应该属于{recyclable},1
3333,"图中展示的物品是量杯,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收垃圾。,1
3334,"图中展示的物品是牛肉干,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3335,"图中展示的物品是烤鸡烤鸭,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是香肠，根据垃圾分类的标准，应该属于可回收物,0
3336,"图中展示的物品是蛋糕盒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是蛋糕盒，根据垃圾分类的标准，应该属于厨余垃圾。,0
3337,"图中展示的物品是手电筒,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
3338,"图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{bag_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3339,"图中展示的物品是苍蝇拍,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是塑料，根据垃圾分类的标准，应该属于可回收物,0
3340,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于玻璃,1
3341,"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{food},1
3342,"图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3343,"图中展示的物品是保鲜盒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food waste}。,0
3344,"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是食物，根据垃圾分类的标准，应该属于厨余垃圾。,1
3345,"图中展示的物品是书,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3346,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是面包，根据垃圾分类的标准，应该属于废食品,0
3347,"图中展示的物品是杀虫剂,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是杀虫剂，根据垃圾分类的标准，应该属于有害垃圾,1
3348,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是白菜，根据垃圾分类的标准，应该属于厨余垃圾,1
3349,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是茶壶，根据垃圾分类的标准，应该属于可回收物。,1
3350,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},0
3351,"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是台灯，根据垃圾分类的标准，应该属于废品,1
3352,"图中展示的物品是西瓜皮,根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3353,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3354,"图中展示的物品是热水瓶,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是杯子,0
3355,"图中展示的物品是帽子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}",1
3356,"图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是砧板，根据垃圾分类的标准，应该属于厨余垃圾。,0
3357,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是药品，根据垃圾分类的标准，应该属于有害垃圾,1
3358,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
3359,"图中展示的物品是哈密瓜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是[fruit]，根据垃圾分类的标准，应该属于[food],1
